date,ex_rate
2016-10-10,1115.7
2016-10-11,1111.0
2016-10-12,1117.2
2016-10-13,1123.3
2016-10-14,1130.5
2016-10-15,1130.5
2016-10-16,1130.5
2016-10-17,1132.9
2016-10-18,1140.3
2016-10-19,1132.3
2016-10-20,1122.8
2016-10-21,1124.0
2016-10-22,1124.0
2016-10-23,1124.0
2016-10-24,1134.5
2016-10-25,1134.5
2016-10-26,1136.5
2016-10-27,1132.4
2016-10-28,1140.2
2016-10-29,1140.2
2016-10-31,1145.2
2016-11-01,1144.6
2016-11-02,1141.8
2016-11-03,1148.7
2016-11-04,1140.6
2016-11-05,1140.6
2016-11-06,1140.6
2016-11-07,1143.4
2016-11-08,1141.6
2016-11-09,1137.5
2016-11-10,1145.8
2016-11-11,1151.0
2016-11-12,1151.0
2016-11-13,1151.0
2016-11-14,1164.4
2016-11-15,1169.8
2016-11-16,1168.8
2016-11-17,1167.2
2016-11-18,1174.4
2016-11-19,1174.4
2016-11-20,1174.4
2016-11-21,1182.3
2016-11-22,1183.6
2016-11-23,1175.5
2016-11-24,1174.9
2016-11-25,1182.4
2016-11-26,1182.4
2016-11-27,1182.4
2016-11-28,1178.9
2016-11-29,1170.3
2016-11-30,1168.5
2016-12-01,1168.0
2016-12-02,1172.6
2016-12-03,1172.6
2016-12-04,1172.6
2016-12-05,1170.5
2016-12-06,1173.8
2016-12-07,1169.5
2016-12-08,1169.4
2016-12-09,1159.1
2016-12-10,1159.1
2016-12-11,1159.1
2016-12-12,1166.2
2016-12-13,1170.2
2016-12-14,1165.5
2016-12-15,1168.3
2016-12-16,1180.1
2016-12-17,1180.1
2016-12-18,1180.1
2016-12-19,1183.4
2016-12-20,1186.4
2016-12-21,1191.2
2016-12-22,1194.2
2016-12-23,1198.0
2016-12-24,1198.0
2016-12-25,1198.0
2016-12-26,1202.9
2016-12-27,1199.4
2016-12-28,1205.3
2016-12-29,1207.6
2016-12-30,1208.5
2016-12-31,1208.5
2017-01-01,1208.5
2017-01-02,1208.5
2017-01-03,1207.8
2017-01-04,1206.2
2017-01-05,1206.7
2017-01-06,1191.6
2017-01-07,1191.6
2017-01-08,1191.6
2017-01-09,1189.1
2017-01-10,1205.5
2017-01-11,1198.7
2017-01-12,1196.4
2017-01-13,1182.8
2017-01-14,1182.8
2017-01-15,1182.8
2017-01-16,1177.7
2017-01-17,1180.5
2017-01-18,1180.9
2017-01-19,1165.6
2017-01-20,1177.1
2017-01-21,1177.1
2017-01-22,1177.1
2017-01-23,1172.5
2017-01-24,1166.7
2017-01-25,1163.6
2017-01-26,1166.2
2017-01-27,1166.2
2017-01-28,1166.2
2017-01-29,1166.2
2017-01-30,1166.2
2017-01-31,1157.8
2017-02-01,1165.5
2017-02-02,1155.2
2017-02-03,1149.2
2017-02-04,1149.2
2017-02-05,1149.2
2017-02-06,1146.8
2017-02-07,1137.7
2017-02-08,1142.1
2017-02-09,1145.4
2017-02-10,1145.7
2017-02-11,1145.7
2017-02-12,1145.7
2017-02-13,1151.4
2017-02-14,1151.9
2017-02-15,1144.5
2017-02-16,1141.6
2017-02-17,1138.9
2017-02-18,1138.9
2017-02-19,1138.9
2017-02-20,1145.3
2017-02-21,1147.6
2017-02-22,1146.8
2017-02-23,1140.9
2017-02-24,1138.8
2017-02-25,1138.8
2017-02-26,1138.8
2017-02-27,1131.0
2017-02-28,1132.1
2017-03-01,1132.1
2017-03-02,1132.3
2017-03-03,1142.0
2017-03-04,1142.0
2017-03-05,1142.0
2017-03-06,1152.7
